fid_1,final_yield
190,52.2050896
191,53.8232307
192,49.2685089
193,46.2376785
194,45.4888611
195,48.3199883
196,49.4594383
197,51.7849884
198,53.6168213
199,50.9012794
200,54.7127495
201,48.8928299
202,47.8722687
203,49.4200783
204,47.8931885
205,44.0229301
206,45.4640312
207,45.8520012
208,41.7773819
209,45.3960991
210,44.020771
211,44.4151802
212,41.5137596
213,29.4735794
214,33.3193092
215,24.4395199
216,47.6907806
217,37.8034096
218,49.8646698
219,62.3607292
220,58.4861183
221,56.1831017
222,58.9650116
223,61.8198013
224,61.5029106
225,68.4195786
226,67.8343887
227,65.7886124
228,69.8999786
229,58.847229
230,58.6882286
231,69.5513077
232,71.0252838
233,64.7265091
234,56.5662384
235,66.5316162
236,59.4753609
237,63.085289
238,65.0816498
239,57.5735207
240,61.2188797
241,69.3807678
242,71.1176224
243,69.0317535
244,55.9429092
245,63.2996712
246,76.0262833
247,67.8877869
248,67.6806412
249,60.9109116
250,56.0727081
251,56.5948715
252,55.7218018
253,58.1334686
254,60.1978607
255,59.9021187
256,62.0160713
257,55.6707382
258,57.2198181
259,51.0676498
260,50.0436401
261,50.3576317
262,49.954361
263,54.5541916
264,55.2013397
265,55.5751915
266,54.7234802
267,58.6380806
268,58.086319
269,62.3687897
270,60.7132912
271,58.2940903
272,51.8628197
273,53.6020889
274,52.0782509
275,53.5131187
276,56.8686905
277,50.7284813
278,51.0461006
279,48.5599709
280,53.3399086
281,50.2135391
282,44.3664017
283,46.3874283
284,47.1451111
285,50.0548706
286,43.5303497
287,44.4677582
288,47.7964287
289,48.7791405
290,58.623661
291,57.2579918
292,59.3331184
293,53.9711914
294,48.1518211
295,51.455761
296,48.3640785
297,52.6669502
298,54.8063011
299,50.8916283
300,49.0058594
301,51.13451
302,51.1309891
303,53.6028099
304,56.0858994
305,57.3614998
306,59.2512703
307,55.6929893
308,55.4706612
309,53.5760689
310,52.8519592
311,48.0405006
312,52.3590813
313,46.2983704
314,45.7087784
315,51.4471207
316,48.7310982
317,44.954319
318,46.9190483
319,51.1839905
320,47.4921188
321,39.5568085
322,34.3964691
323,30.9251003
324,37.3027496
325,29.39398
326,34.6198196
327,55.7380981
328,45.5040512
329,48.5409889
330,47.87603
331,45.0437508
332,60.8328285
333,61.1669998
334,65.1618195
335,52.5079384
336,63.3354492
337,58.8554802
338,55.2988091
339,53.75457
340,58.9981003
341,69.9292068
342,52.7064209
343,59.1755486
344,59.8353691
345,53.1508904
346,59.0227585
347,63.2969589
348,57.5940399
349,62.2185211
350,58.9323883
351,58.162941
352,59.3723907
353,56.5495682
354,63.3648605
355,59.9139709
356,58.470089
357,56.1549187
358,55.4400711
359,59.002861
360,60.4303513
361,62.0842209
362,54.2322197
363,50.7382088
364,58.8353195
365,62.5317612
366,60.7577286
367,52.7263794
368,51.5025291
369,48.3127708
370,52.6742401
371,47.1996384
372,52.0178185
373,53.8818092
374,56.9432983
375,52.9449806
376,62.2303505
377,63.4152603
378,55.1686783
379,52.2738609
380,51.9498291
381,46.5902481
382,49.8192215
383,47.8206215
384,49.343689
385,52.7905312
386,46.1912918
387,46.3712807
388,52.2014503
389,49.968071
390,40.8824196
391,48.6237411
392,39.3147087
393,53.2033501
394,44.9192581
395,43.4785194
396,42.0414085
